State,County,MEDIAN_AGE_TOT
Alabama,Autauga County,39.3
Alabama,Baldwin County,43.6
Alabama,Barbour County,40.9
Alabama,Bibb County,40.0
Alabama,Blount County,41.0
Alabama,Bullock County,39.5
Alabama,Butler County,42.1
Alabama,Calhoun County,40.2
Alabama,Chambers County,43.1
Alabama,Cherokee County,47.4
Alabama,Chilton County,39.8
Alabama,Choctaw County,46.8
Alabama,Clarke County,42.9
Alabama,Clay County,44.7
Alabama,Cleburne County,42.9
Alabama,Coffee County,39.4
Alabama,Colbert County,42.3
Alabama,Conecuh County,45.6
Alabama,Coosa County,49.5
Alabama,Covington County,43.4
Alabama,Crenshaw County,42.0
Alabama,Cullman County,40.9
Alabama,Dale County,38.1
Alabama,Dallas County,40.7
Alabama,DeKalb County,40.1
Alabama,Elmore County,39.2
Alabama,Escambia County,40.1
Alabama,Etowah County,42.0
Alabama,Fayette County,43.9
Alabama,Franklin County,39.0
Alabama,Geneva County,43.5
Alabama,Greene County,44.0
Alabama,Hale County,40.8
Alabama,Henry County,45.3
Alabama,Houston County,40.0
Alabama,Jackson County,44.0
Alabama,Jefferson County,37.9
Alabama,Lamar County,44.6
Alabama,Lauderdale County,41.6
Alabama,Lawrence County,43.0
Alabama,Lee County,32.8
Alabama,Limestone County,40.0
Alabama,Lowndes County,42.4
Alabama,Macon County,39.9
Alabama,Madison County,38.6
Alabama,Marengo County,41.7
Alabama,Marion County,44.3
Alabama,Marshall County,38.9
Alabama,Mobile County,38.1
Alabama,Monroe County,44.1
Alabama,Montgomery County,36.8
Alabama,Morgan County,40.8
Alabama,Perry County,39.2
Alabama,Pickens County,41.9
Alabama,Pike County,31.4
Alabama,Randolph County,44.0
Alabama,Russell County,37.2
Alabama,St. Clair County,40.4
Alabama,Shelby County,39.8
Alabama,Sumter County,36.0
Alabama,Talladega County,41.4
Alabama,Tallapoosa County,45.6
Alabama,Tuscaloosa County,33.6
Alabama,Walker County,42.2
Alabama,Washington County,43.0
Alabama,Wilcox County,40.7
Alabama,Winston County,45.6
Alaska,Aleutians East Borough,44.4
Alaska,Aleutians West Census Area,42.0
Alaska,Anchorage Municipality,34.4
Alaska,Bethel Census Area,27.6
Alaska,Bristol Bay Borough,42.2
Alaska,Denali Borough,40.0
Alaska,Dillingham Census Area,30.1
Alaska,Fairbanks North Star Borough,31.9
Alaska,Haines Borough,48.9
Alaska,Hoonah-Angoon Census Area,50.3
Alaska,Juneau City and Borough,38.5
Alaska,Kenai Peninsula Borough,41.1
Alaska,Ketchikan Gateway Borough,39.7
Alaska,Kodiak Island Borough,34.5
Alaska,Kusilvak Census Area,23.6
Alaska,Lake and Peninsula Borough,34.7
Alaska,Matanuska-Susitna Borough,36.0
Alaska,Nome Census Area,28.5
Alaska,North Slope Borough,34.8
Alaska,Northwest Arctic Borough,27.7
Alaska,Petersburg Borough,42.9
Alaska,Prince of Wales-Hyder Census Area,42.5
Alaska,Sitka City and Borough,39.7
Alaska,Skagway Municipality,40.6
Alaska,Southeast Fairbanks Census Area,38.4
Alaska,Valdez-Cordova Census Area,39.1
Alaska,Wrangell City and Borough,49.3
Alaska,Yakutat City and Borough,44.9
Alaska,Yukon-Koyukuk Census Area,35.8
Arizona,Apache County,35.6
Arizona,Cochise County,41.8
Arizona,Coconino County,31.1
Arizona,Gila County,50.5
Arizona,Graham County,33.6
