Facility_ID,City,State,County,Total_Admissions,ReadmissionRate,HAI_1_SIR,HAI_2_SIR,HAI_5_SIR,HAI_6_SIR,PSI_3,PSI_6,PSI_8,PSI_9,PSI_10,PSI_11,PSI_12,PSI_13,PSI_14,PSI_15,PSI_90,H_Comp_1,H_Comp_2,H_Comp_3,H_Comp_5,H_Comp_6,H_Comp_7,H_Comp_Cl,H_Comp_Qt,H_Comp_Ov,AMI_TA_PROP,COPD_TA_PROP,HF_TA_PROP,HIPKNEE_TA_PROP,PN_TA_PROP,ED_MEDIAN_VISIT_MINS,ED_LEFT_NOT_SEEN_%,ED_VOLUME,%_SEPSIS_CARE,%_HCWs_FLU_VAX,2018to2020_PCPI,Population_2019,MEDIAN_AGE_TOT
10001,DOTHAN,AL,Houston,1805,15.5,0.555,0.289,0.871,0.604,0.32305100000000003,0.15978900000000001,0.087809,2.9346970000000003,1.001075,4.207372,3.063311,4.413214,0.783725,1.2738530000000001,0.8120970000000001,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,0.23490304709141274,0.17174515235457063,0.5008310249307479,0.09141274238227147,0.2786703601108033,168,3,high,60,99,44661.0,105882.0,40.0
10005,BOAZ,AL,Marshall,764,14.7,1.65,1.055,2.78,0.601,1.205079,0.212169,0.09210299999999999,2.151389,1.159824,7.543014,3.7851779999999997,4.2115860000000005,0.840449,1.000942,1.1924,2.0,4.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,0.04712041884816754,0.49476439790575916,0.2918848167539267,0.2198952879581152,0.612565445026178,139,2,very high,60,93,37982.666666666664,96774.0,38.9
10006,FLORENCE,AL,Lauderdale,1563,15.7,0.987,0.442,1.232,0.212,1.105051,0.304747,0.08973099999999999,2.957849,1.167554,7.195028999999999,3.3408629999999997,4.760644999999999,0.805441,1.144432,1.191791,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,0.23224568138195778,0.2437619961612284,0.3934740882917466,0.19577735124760076,0.42418426103646834,182,1,high,32,82,38525.333333333336,92729.0,41.6
10011,BIRMINGHAM,AL,Jefferson,918,16.3,0.424,0.993,0.802,0.359,0.390611,0.29744,0.091824,2.956353,1.796232,5.360293,3.6610620000000003,6.292115,0.8263,0.9150290000000001,1.055328,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.13725490196078433,0.18082788671023964,0.38235294117647056,0.046840958605664486,0.3801742919389978,174,3,high,30,76,56600.0,658573.0,37.9
10012,FORT PAYNE,AL,DeKalb,265,15.6,,0.0,,0.493,0.380137,0.221917,0.094731,2.459101,1.396764,4.858935,3.192685,4.783089,0.84905,1.147132,0.8976,3.0,3.0,3.0,1.0,4.0,2.0,4.0,3.0,2.0,0.25660377358490566,0.4075471698113208,0.5320754716981132,0.10943396226415095,,170,3,medium,80,82,33574.333333333336,71513.0,40.1
10016,ALABASTER,AL,Shelby,808,15.4,0.315,0.547,0.847,0.498,0.45086000000000004,0.201977,0.091803,2.923572,1.960347,6.576859,2.988187,6.347909,1.126568,0.940652,1.074767,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,0.15965346534653466,0.17698019801980197,0.29826732673267325,0.16584158415841585,0.36014851485148514,208,2,medium,63,94,57621.0,217702.0,39.8
10019,SHEFFIELD,AL,Colbert,778,15.8,2.572,0.706,2.092,0.455,0.22097399999999998,0.25045700000000004,0.105071,2.3456900000000003,,,3.942543,,0.985894,1.3518430000000001,0.916826,4.0,5.0,3.0,2.0,3.0,3.0,4.0,5.0,4.0,,0.4318766066838046,0.39588688946015427,0.39331619537275064,0.42159383033419023,135,1,medium,78,90,39467.333333333336,55241.0,42.3
10023,MONTGOMERY,AL,Montgomery,1165,15.0,2.08,1.568,2.985,0.638,1.470389,0.282001,0.088012,2.896076,1.1463430000000001,6.423655999999999,3.871149,4.551728,0.814864,0.9199649999999999,1.276489,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,0.20772532188841203,0.14763948497854076,0.3708154506437768,0.3459227467811159,0.15021459227467812,185,,,11,93,45271.666666666664,226486.0,36.8
10024,MONTGOMERY,AL,Montgomery,1011,16.1,1.537,0.974,2.191,1.168,0.31096799999999997,0.262228,0.11503499999999998,1.992409,1.2307620000000001,3.238653,3.123448,4.85767,0.8201209999999999,1.168347,0.8195620000000001,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,0.19386745796241345,0.21068249258160238,0.39861523244312563,0.20573689416419386,0.34817012858555885,126,1,very high,73,53,45271.666666666664,226486.0,36.8
10029,OPELIKA,AL,Lee,1196,14.8,1.03,0.92,0.946,0.662,0.283183,0.1832,0.100589,2.1306130000000003,1.6792490000000002,4.410458,3.075091,3.7829650000000004,0.963131,0.8801829999999999,0.797164,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,0.15468227424749165,0.2834448160535117,0.4673913043478261,0.4531772575250836,0.2968227424749164,200,,,65,89,40363.666666666664,164542.0,32.8
