ReadmissionRate,Facility_ID,City,State,County,Total_Admissions,HAI_1_SIR,HAI_2_SIR,HAI_5_SIR,HAI_6_SIR,PSI_3,PSI_6,PSI_8,PSI_9,PSI_10,PSI_11,PSI_12,PSI_13,PSI_14,PSI_15,PSI_90,H_Comp_Ov,AMI_TA_PROP,COPD_TA_PROP,HF_TA_PROP,HIPKNEE_TA_PROP,PN_TA_PROP,ED_MEDIAN_VISIT_MINS,ED_LEFT_NOT_SEEN_%,ED_VOLUME,%_SEPSIS_CARE,%_HCWs_FLU_VAX,2018to2020_PCPI,Population_2019,MEDIAN_AGE_TOT,County_Facilities,Pop/Hosp
15.5,10001,DOTHAN,AL,Houston,1805,0.555,0.289,0.871,0.604,0.32305100000000003,0.159789,0.087809,2.9346970000000003,1.001075,4.207372,3.063311,4.413214,0.783725,1.273853,0.8120970000000001,3.0,0.23490304709141274,0.17174515235457066,0.5008310249307479,0.09141274238227147,0.2786703601108033,168.0,3.0,3.0,60.0,99.0,44661.0,105882.0,40.0,2,52941.0
14.7,10005,BOAZ,AL,Marshall,764,1.65,1.055,2.78,0.601,1.205079,0.212169,0.092103,2.151389,1.159824,7.543014,3.785178,4.2115860000000005,0.840449,1.000942,1.1924,2.0,0.04712041884816754,0.4947643979057592,0.2918848167539267,0.2198952879581152,0.6125654450261779,139.0,2.0,4.0,60.0,93.0,37982.66666666666,96774.0,38.9,1,96774.0
15.7,10006,FLORENCE,AL,Lauderdale,1563,0.987,0.442,1.232,0.212,1.105051,0.304747,0.08973099999999999,2.957849,1.167554,7.195028999999999,3.340863,4.7606449999999985,0.805441,1.144432,1.191791,2.0,0.23224568138195775,0.2437619961612284,0.3934740882917466,0.1957773512476008,0.4241842610364683,182.0,1.0,3.0,32.0,82.0,38525.333333333336,92729.0,41.6,1,92729.0
16.3,10011,BIRMINGHAM,AL,Jefferson,918,0.424,0.993,0.802,0.359,0.390611,0.29744,0.091824,2.956353,1.796232,5.360293,3.661062,6.292115,0.8263,0.915029,1.055328,3.0,0.13725490196078433,0.18082788671023964,0.38235294117647056,0.046840958605664486,0.3801742919389978,174.0,3.0,3.0,30.0,76.0,56600.0,658573.0,37.9,8,82321.625
15.6,10012,FORT PAYNE,AL,DeKalb,265,,0.0,,0.493,0.380137,0.221917,0.094731,2.459101,1.396764,4.858935,3.192685,4.783089,0.84905,1.147132,0.8976,2.0,0.2566037735849057,0.4075471698113208,0.5320754716981132,0.10943396226415096,,170.0,3.0,2.0,80.0,82.0,33574.333333333336,71513.0,40.1,1,71513.0
15.4,10016,ALABASTER,AL,Shelby,808,0.315,0.547,0.847,0.498,0.45086,0.201977,0.091803,2.923572,1.960347,6.576859,2.988187,6.347909,1.126568,0.940652,1.074767,3.0,0.15965346534653466,0.17698019801980194,0.29826732673267325,0.16584158415841585,0.36014851485148514,208.0,2.0,2.0,63.0,94.0,57621.0,217702.0,39.8,1,217702.0
15.8,10019,SHEFFIELD,AL,Colbert,778,2.572,0.706,2.092,0.455,0.220974,0.25045700000000004,0.105071,2.3456900000000003,,,3.942543,,0.985894,1.351843,0.916826,4.0,,0.4318766066838046,0.3958868894601543,0.39331619537275053,0.42159383033419023,135.0,1.0,2.0,78.0,90.0,39467.333333333336,55241.0,42.3,1,55241.0
15.0,10023,MONTGOMERY,AL,Montgomery,1165,2.08,1.568,2.985,0.638,1.470389,0.282001,0.088012,2.896076,1.146343,6.4236559999999985,3.871149,4.551728,0.814864,0.919965,1.276489,4.0,0.20772532188841206,0.14763948497854076,0.3708154506437768,0.3459227467811159,0.15021459227467812,185.0,,0.0,11.0,93.0,45271.66666666666,226486.0,36.8,3,75495.33333333333
16.1,10024,MONTGOMERY,AL,Montgomery,1011,1.537,0.9740000000000001,2.191,1.168,0.310968,0.262228,0.11503499999999997,1.992409,1.230762,3.238653,3.123448,4.85767,0.8201209999999999,1.168347,0.8195620000000001,3.0,0.19386745796241345,0.2106824925816024,0.3986152324431256,0.20573689416419386,0.34817012858555885,126.0,1.0,4.0,73.0,53.0,45271.66666666666,226486.0,36.8,3,75495.33333333333
14.8,10029,OPELIKA,AL,Lee,1196,1.03,0.92,0.946,0.662,0.283183,0.1832,0.100589,2.1306130000000003,1.6792490000000002,4.410458,3.075091,3.782965,0.963131,0.8801829999999999,0.797164,4.0,0.15468227424749165,0.2834448160535117,0.4673913043478261,0.4531772575250836,0.2968227424749164,200.0,,0.0,65.0,89.0,40363.66666666666,164542.0,32.8,1,164542.0
16.2,10033,BIRMINGHAM,AL,Jefferson,2672,0.858,0.574,1.54,0.419,2.299367,0.196278,0.091955,2.237694,2.072039,7.469794999999999,4.910156,5.725878,1.017836,0.712292,1.686508,4.0,0.10329341317365268,0.07110778443113773,0.2761976047904192,0.04940119760479042,0.16691616766467066,185.0,3.0,4.0,57.0,99.0,56600.0,658573.0,37.9,8,82321.625
16.9,10035,CULLMAN,AL,Cullman,841,0.0,1.3230000000000002,1.271,0.319,0.572855,0.245854,0.104539,2.335938,1.389332,5.15963,2.6542,5.1025269999999985,0.8326629999999999,1.053948,0.94943,4.0,0.11414982164090368,0.27586206896551724,0.5671819262782402,0.13317479191438766,0.5196195005945303,126.0,,0.0,98.0,89.0,41131.66666666666,83768.0,40.9,1,83768.0
15.4,10036,ANDALUSIA,AL,Covington,335,,0.8079999999999999,,0.525,0.350557,0.218804,0.093998,2.470647,,,3.744137,,0.847189,1.138179,0.930363,1.0,,0.5880597014925373,0.7761194029850746,0.2,0.5134328358208955,125.0,,0.0,,78.0,36448.0,37049.0,43.4,1,37049.0
15.3,10039,HUNTSVILLE,AL,Madison,4231,1.209,0.912,1.081,0.639,0.244493,0.26394,0.12452,2.786355,1.188114,6.9426380000000005,3.65746,5.217696,0.708167,1.201436,0.975107,4.0,0.2174426849444576,0.20018908059560386,0.3264003781611912,0.2739305128811156,0.3436539825100449,174.0,2.0,4.0,54.0,86.0,54352.0,372909.0,38.6,2,186454.5
15.4,10040,GADSDEN,AL,Etowah,1051,0.875,0.075,2.171,0.10800000000000001,0.165206,0.22888200000000006,0.090784,2.3308150000000003,1.184663,5.951405,2.370665,6.541136,0.982204,0.937488,0.895951,2.0,0.192197906755471,0.2350142721217888,0.3196955280685062,0.3006660323501427,0.4490960989533777,233.0,2.0,3.0,36.0,49.0,38045.0,102268.0,42.0,2,51134.0
15.1,10046,GADSDEN,AL,Etowah,599,1.8359999999999999,0.0,2.967,0.39899999999999997,0.207722,0.204637,0.092149,2.421924,2.08911,5.035198,2.495506,5.103083,0.84155,1.078207,0.868481,2.0,0.08514190317195326,0.335559265442404,0.4357262103505843,0.13856427378964942,0.4641068447412354,120.0,2.0,2.0,85.0,66.0,38045.0,102268.0,42.0,2,51134.0
16.0,10049,ENTERPRISE,AL,Coffee,356,,0.0,,0.495,0.396474,0.222156,0.107196,2.446138,1.406548,4.421144,3.604421,4.712467,1.002112,1.128095,0.910358,4.0,,0.3314606741573033,0.24719101123595505,0.5449438202247191,0.3904494382022472,142.0,2.0,2.0,42.0,76.0,43585.66666666666,52342.0,39.4,1,52342.0
15.2,10055,DOTHAN,AL,Houston,1210,0.9059999999999999,1.0270000000000001,0.0,0.431,0.141519,0.221045,0.101849,2.145412,1.5589620000000002,4.777908,3.383599,4.10457,0.963035,1.125482,0.8080229999999999,3.0,0.21652892561983472,0.2115702479338843,0.3578512396694215,0.3727272727272728,0.33884297520661155,191.0,2.0,3.0,47.0,84.0,44661.0,105882.0,40.0,2,52941.0
14.7,10056,BIRMINGHAM,AL,Jefferson,1620,0.595,0.7,0.69,0.489,0.437086,0.186568,0.087148,2.340544,1.564283,5.053192,3.292886,5.8070309999999985,0.789791,1.031778,0.973811,4.0,0.11049382716049384,0.1345679012345679,0.2333333333333333,0.7679012345679013,0.2888888888888889,155.0,,0.0,52.0,76.0,56600.0,658573.0,37.9,8,82321.625
15.3,10061,SCOTTSBORO,AL,Jackson,214,,1.871,,0.24,0.427282,0.266007,0.094984,2.51216,1.41789,,3.349297,,0.854606,1.169819,0.9372,,,0.705607476635514,0.37383177570093457,0.14953271028037382,0.5233644859813084,162.0,1.0,1.0,53.0,84.0,38254.333333333336,51626.0,44.0,1,51626.0
15.0,10078,ANNISTON,AL,Calhoun,998,0.779,0.787,2.787,0.727,0.13806300000000002,0.189298,0.090654,3.225119,1.631949,8.973405,3.853357,5.4349110000000005,0.801946,1.953533,1.070755,2.0,0.25851703406813625,0.4118236472945892,0.3917835671342685,0.2545090180360721,0.3336673346693387,240.0,2.0,3.0,34.0,86.0,38128.333333333336,113605.0,40.2,1,113605.0
15.6,10079,ATHENS,AL,Limestone,419,,0.47200000000000003,,0.504,0.781745,0.22006,0.093606,2.399206,1.671387,6.031079,3.274464,4.462006,0.836254,1.09526,1.049964,4.0,,0.3031026252983294,0.3675417661097852,0.4009546539379475,0.486873508353222,171.0,,0.0,64.0,78.0,45343.66666666666,98915.0,40.0,1,98915.0
15.2,10083,FOLEY,AL,Baldwin,649,0.0,0.503,1.1179999999999999,0.214,0.615707,0.209263,0.092507,2.295912,1.400032,5.367102,4.961614,4.577245,0.990486,1.0384790000000002,1.056921,4.0,0.13405238828967642,0.2927580893682589,0.4160246533127889,0.30970724191063176,0.539291217257319,180.0,2.0,2.0,56.0,71.0,48709.33333333334,223234.0,43.6,2,111617.0
15.5,10085,DECATUR,AL,Morgan,1019,1.301,0.336,1.056,0.35600000000000004,0.428724,0.20724,0.091453,3.260627,,,3.455627,,0.812394,1.211119,0.951389,3.0,0.03434739941118744,0.29538763493621195,0.4210009813542689,0.14327772325809618,0.5260058881256133,204.0,,0.0,30.0,95.0,42160.66666666666,119679.0,40.8,1,119679.0
16.3,10087,MOBILE,AL,Mobile,371,0.89,0.247,1.004,0.7959999999999999,0.547928,0.214125,0.107038,2.259974,1.341882,3.993432,3.872164,3.729197,0.820516,0.914759,0.887275,3.0,,0.07547169811320754,0.09164420485175202,,0.09164420485175202,238.0,6.0,2.0,60.0,99.0,40340.333333333336,413210.0,38.1,4,103302.5
15.9,10089,JASPER,AL,Walker,405,0.649,0.51,1.435,0.135,0.806883,0.220863,0.106793,2.673765,1.682967,4.283874,3.496145,4.632733,0.8534229999999999,1.113679,1.032169,2.0,,0.4839506172839506,0.3851851851851852,0.21975308641975308,0.4987654320987655,155.0,,0.0,73.0,98.0,42112.66666666666,63521.0,42.2,1,63521.0
